Day,Conditions,mask_infected,maskless_infected,total_infected,cumulative_infected_list,dead_masked_people,dead_maskless_people,total_dead,vaccinations
1,No measures,0,9,9,10,0,0,0,0
2,No measures,0,16,16,17,0,0,0,0
3,No measures,0,28,28,30,0,0,0,0
4,No measures,0,49,49,55,0,0,0,0
5,No measures,0,86,86,93,0,0,0,0
6,No measures,0,147,147,155,0,0,0,0
7,No measures,0,248,248,264,0,1,1,0
8,No measures,0,402,402,425,0,2,2,0
9,No measures,0,678,678,713,0,3,3,0
10,No measures,0,1136,1136,1195,0,5,5,0
11,No measures,0,1843,1843,1936,0,9,9,0
12,No measures,0,2889,2889,3043,0,15,15,0
13,No measures,0,4325,4325,4564,0,23,23,0
14,No measures,0,5944,5944,6330,0,37,37,0
15,No measures,0,7418,7418,7969,0,53,53,0
16,No measures,0,8366,8366,9094,0,70,70,0
17,No measures,0,8733,8733,9668,0,89,89,0
18,No measures,0,8751,8751,9888,0,107,107,0
19,No measures,0,8617,8617,9970,0,124,124,0
20,No measures,0,8380,8380,9988,0,141,141,0
21,No measures,0,8114,8114,9994,0,155,155,0
22,No measures,0,7725,7725,10000,0,172,172,0
23,No measures,0,7230,7230,10000,0,185,185,0
24,No measures,0,6501,6501,10000,0,200,200,0
25,No measures,0,5549,5549,10000,0,210,210,0
26,No measures,0,4302,4302,10000,0,219,219,0
27,No measures,0,2877,2877,10000,0,225,225,0
28,No measures,0,1599,1599,10000,0,229,229,0
29,No measures,0,717,717,10000,0,230,230,0
30,No measures,0,259,259,10000,0,231,231,0
31,No measures,0,94,94,10000,0,231,231,0
32,No measures,0,24,24,10000,0,231,231,0
33,No measures,0,9,9,10000,0,231,231,0
34,No measures,0,4,4,10000,0,231,231,0
35,No measures,0,0,0,10000,0,231,231,0
36,No measures,0,0,0,10000,0,231,231,0
37,No measures,0,0,0,10000,0,231,231,0
38,No measures,0,0,0,10000,0,231,231,0
39,No measures,0,0,0,10000,0,231,231,0
40,No measures,0,0,0,10000,0,231,231,0
41,No measures,0,0,0,10000,0,231,231,0
42,No measures,0,0,0,10000,0,231,231,0
